Epoch ,TrainLoss   ,ValidationLoss ,TrainAccuracy ,ValidationAccuracy
  274 ,0.139260277 ,   0.453902662 ,  0.019401472 ,       0.017843123
  275 ,0.031866278 ,   0.015551521 ,  0.023072149 ,       0.024032986
  276 ,0.07183814  ,   1.860739946 ,  0.021987474 ,       0.022570932
  277 ,1.292538166 ,   1.541343689 ,  0.020789639 ,       0.020514703
  278 ,0.040621325 ,   0.027208559 ,  0.020531461 ,       0.020746864
  279 ,0.192239761 ,   0.028800774 ,  0.021632263 ,       0.019832589
  280 ,1.604173899 ,   0.832495034 ,  0.015945342 ,       0.017231699
  281 ,1.571822643 ,   0.049314689 ,  0.018982574 ,       0.021783122
  282 ,6.303825378 ,   0.033388652 ,  0.016089667 ,       0.019610775
  283 ,0.937807083 ,   2.67104578  ,  0.017671    ,       0.019747812
  284 ,2.528789997 ,   0.170160472 ,  0.020336552 ,       0.021387194
  285 ,3.28515172  ,   1.77492106  ,  0.021365623 ,       0.023520048
  286 ,1.086666107 ,   0.083781421 ,  0.020149922 ,       0.020770648
  287 ,0.386375129 ,   0.012861731 ,  0.019452218 ,       0.01781617
  288 ,0.023409182 ,   3.227219582 ,  0.01997434  ,       0.020641802
  289 ,0.033896573 ,   2.137038231 ,  0.017865211 ,       0.017945597
  290 ,0.013600064 ,   2.944513798 ,  0.020649669 ,       0.021756811
  291 ,0.027928114 ,   0.535057187 ,  0.018542567 ,       0.020753804
  292 ,0.111409903 ,   2.149709463 ,  0.021696437 ,       0.021630321
  293 ,2.621656895 ,   2.012533665 ,  0.016603492 ,       0.018212699
  294 ,0.625611126 ,   1.555385232 ,  0.020948844 ,       0.022588856
  295 ,1.662433863 ,   0.013323045 ,  0.018426598 ,       0.018517708
  296 ,2.114235163 ,   0.012547459 ,  0.022806744 ,       0.019703358
  297 ,0.016984399 ,   0.012425268 ,  0.019592387 ,       0.024294349
  298 ,0.025152361 ,   0.011906408 ,  0.018323714 ,       0.022559419
  299 ,0.029270977 ,   2.124008179 ,  0.020208704 ,       0.019917767
  300 ,0.729794741 ,   1.64116621  ,  0.019099538 ,       0.021469586
  301 ,0.02681189  ,   0.012057375 ,  0.023763158 ,       0.024710558
  302 ,1.845735908 ,   1.081014991 ,  0.023189775 ,       0.024198935
  303 ,0.012492822 ,   0.033367097 ,  0.020343359 ,       0.020716088
  304 ,0.117736474 ,   0.034040727 ,  0.02123046  ,       0.021017415
  305 ,0.423712045 ,   0.040714756 ,  0.018822881 ,       0.019765883
  306 ,0.026158681 ,   0.063948907 ,  0.020484158 ,       0.022060742
  307 ,0.013233099 ,   1.525510192 ,  0.019209501 ,       0.021248293
  308 ,0.020213168 ,   0.018961083 ,  0.021781787 ,       0.021199804
  309 ,0.606162488 ,   4.305416107 ,  0.026198987 ,       0.026409441
  310 ,0.030945312 ,   0.024778079 ,  0.017968458 ,       0.021784151
  311 ,0.028778579 ,   0.036796905 ,  0.023605432 ,       0.021960977
  312 ,0.030798096 ,   1.674278259 ,  0.022059002 ,       0.020078213
  313 ,1.221886039 ,   0.044966437 ,  0.02105092  ,       0.024523325
  314 ,0.291573048 ,   4.263748646 ,  0.015463612 ,       0.021018585
  315 ,0.042248726 ,   1.040889025 ,  0.021207427 ,       0.02349036
  316 ,0.305685163 ,   0.275370747 ,  0.024696698 ,       0.024086707
  317 ,0.148050934 ,   1.785382986 ,  0.018167199 ,       0.020841581
  318 ,2.058559418 ,   2.710583687 ,  0.019595277 ,       0.019949367
  319 ,1.324944735 ,   2.342473984 ,  0.019337779 ,       0.018101008
  320 ,0.024210095 ,   3.801762104 ,  0.018757634 ,       0.019691288
  321 ,0.045503858 ,   2.132029057 ,  0.025244731 ,       0.026076514
  322 ,0.013190046 ,   0.019555727 ,  0.018950198 ,       0.022411542
  323 ,0.019587856 ,   0.103869826 ,  0.022333048 ,       0.023824606
  324 ,0.01221902  ,   0.01548554  ,  0.01732034  ,       0.020216328
  325 ,3.570773125 ,   0.012964007 ,  0.022456403 ,       0.021336824
  326 ,1.942510843 ,   2.200624943 ,  0.017214039 ,       0.020731519
  327 ,0.460152239 ,   0.029978674 ,  0.018227983 ,       0.019414849
  328 ,0.614090681 ,   0.040496238 ,  0.018939774 ,       0.020656697
  329 ,3.027869701 ,   0.03890603  ,  0.020657643 ,       0.022725527
  330 ,0.469406605 ,   0.01965189  ,  0.023576098 ,       0.02467504
  331 ,2.318670034 ,   2.486043215 ,  0.018205646 ,       0.020097084
  332 ,0.043067634 ,   1.563119411 ,  0.019129273 ,       0.019248079
  333 ,0.010494928 ,   1.168494463 ,  0.018187271 ,       0.01990399
  334 ,0.026307411 ,   0.060218859 ,  0.021590564 ,       0.021566552
  335 ,0.81422919  ,   0.025091995 ,  0.022189661 ,       0.021688802
  336 ,0.844195724 ,   0.019704802 ,  0.018784368 ,       0.022144122
  337 ,0.722680688 ,   1.614428043 ,  0.021968531 ,       0.02089599
  338 ,0.091153339 ,   0.566067338 ,  0.019009698 ,       0.020445031
  339 ,0.748800159 ,   0.010718301 ,  0.018511715 ,       0.019357516
  340 ,2.214762211 ,   2.388704777 ,  0.021682172 ,       0.02144126
  341 ,1.718100309 ,   1.599955559 ,  0.019104874 ,       0.019632113
  342 ,1.782327652 ,   0.009036787 ,  0.016867223 ,       0.02041103
  343 ,0.009194682 ,   0.043832183 ,  0.021684072 ,       0.024396112
  344 ,0.010281602 ,   0.029656963 ,  0.01701614  ,       0.020369097
  345 ,0.149063811 ,   1.329541922 ,  0.020609855 ,       0.023329539
  346 ,0.546483159 ,   0.183598906 ,  0.019218319 ,       0.019909661
  347 ,1.985868931 ,   3.888162613 ,  0.02223169  ,       0.020994899
  348 ,0.05643905  ,   1.087527514 ,  0.017361976 ,       0.017004771
  349 ,1.115762472 ,   0.026540393 ,  0.023336893 ,       0.023746318
  350 ,2.586741447 ,   0.022873545 ,  0.021043177 ,       0.024165784
  351 ,2.165573597 ,   4.11309576  ,  0.019065604 ,       0.01988217
  352 ,0.035353974 ,   1.42218709  ,  0.019754458 ,       0.020537398
  353 ,0.010694822 ,   0.029672224 ,  0.018119059 ,       0.017889004
  354 ,4.807439804 ,   0.018369921 ,  0.016043035 ,       0.020341566
  355 ,3.93380475  ,   1.901846647 ,  0.017445409 ,       0.021604273
  356 ,0.015631629 ,   1.217023253 ,  0.019624488 ,       0.022765646
  357 ,2.577783108 ,   2.648236275 ,  0.019425242 ,       0.020373837
  358 ,1.871295094 ,   0.818754196 ,  0.020188745 ,       0.017993523
  359 ,0.012794697 ,   0.070942715 ,  0.020356706 ,       0.021263914
  360 ,1.236441731 ,   1.043994308 ,  0.021183901 ,       0.022226533
  361 ,0.009406528 ,   1.545174599 ,  0.021888058 ,       0.021549051
  362 ,2.929454327 ,   2.214040041 ,  0.019774989 ,       0.020391103
